 t avg_prod_f avg_k_f avg_a_f avg_l_f avg_prod_ex avg_k_ex avg_a_ex avg_l_ex
  69.0000000   1.3164187 141.3664065 -36.1190307   5.4133170   0.9126011  14.5866735  -7.5659915   1.9001440
  70.0000000   1.3163220 141.4325656 -36.0839334   5.4145024   0.9125608  14.5879474  -7.5649700   1.9001827
  71.0000000   1.3162304 141.4941072 -36.0512576   5.4155818   0.9125264  14.5891752  -7.5636931   1.9002206
  72.0000000   1.3161490 141.5513841 -36.0209933   5.4165760   0.9124963  14.5902782  -7.5617088   1.9002577
  73.0000000   1.3160754 141.6045882 -35.9927781   5.4174815   0.9124671  14.5914232  -7.5596345   1.9002941
  74.0000000   1.3160116 141.6535298 -35.9667096   5.4183088   0.9124394  14.5925426  -7.5568571   1.9003339
  75.0000000   1.3159539 141.6985737 -35.9427765   5.4190479   0.9124148  14.5937078  -7.5537495   1.9003743
  76.0000000   1.3159039 141.7395477 -35.9210242   5.4197126   0.9123924  14.5949051  -7.5501664   1.9004166
  77.0000000   1.3158529 141.7775803 -35.9008578   5.4202995   0.9123777  14.5959221  -7.5464377   1.9004545
  78.0000000   1.3158003 141.8136999 -35.8816344   5.4208350   0.9123649  14.5970970  -7.5437373   1.9004950
  79.0000000   1.3157541 141.8469898 -35.8642379   5.4213216   0.9123501  14.5983262  -7.5406315   1.9005312
  80.0000000   1.3157152 141.8774783 -35.8487102   5.4217568   0.9123375  14.5996221  -7.5370496   1.9005704
  81.0000000   1.3156829 141.9051841 -35.8348925   5.4221440   0.9123260  14.6007572  -7.5332303   1.9006065
  82.0000000   1.3156485 141.9306578 -35.8224462   5.4224777   0.9123185  14.6019744  -7.5296340   1.9006456
  83.0000000   1.3156234 141.9532484 -35.8118585   5.4227715   0.9123090  14.6029913  -7.5257279   1.9006787
  84.0000000   1.3155944 141.9732958 -35.8031464   5.4230139   0.9123039  14.6040039  -7.5223018   1.9007128
  85.0000000   1.3155746 141.9912656 -35.7958069   5.4232249   0.9122977  14.6063418  -7.5165710   1.9007763
  86.0000000   1.3155449 142.0075160 -35.7899187   5.4233867   0.9122958  14.6074909  -7.5135589   1.9008103
  87.0000000   1.3155259 142.0224158 -35.7848242   5.4235366   0.9122912  14.6084966  -7.5100215   1.9008398
  88.0000000   1.3155005 142.0358341 -35.7810778   5.4236502   0.9122906  14.6095601  -7.5071216   1.9008701
  89.0000000   1.3154804 142.0482241 -35.7782198   5.4237537   0.9122889  14.6105435  -7.5040792   1.9008977
  90.0000000   1.3154585 142.0592401 -35.7765632   5.4238304   0.9122886  14.6115507  -7.5013505   1.9009247
  91.0000000   1.3154434 142.0692797 -35.7757081   5.4238975   0.9122871  14.6124263  -7.4983465   1.9009486
  92.0000000   1.3154178 142.0787267 -35.7756197   5.4239400   0.9122901  14.6137079  -7.4958892   1.9009806
