 t avg_prod_f avg_k_f avg_a_f avg_l_f avg_prod_ex avg_k_ex avg_a_ex avg_l_ex
  61.0000000   1.3826139  87.2822396 -12.8933553   2.6253619   1.0784039   2.0503451 -11.3561425   0.8237531
  62.0000000   1.3825436  87.3169414 -12.8664955   2.6257306   1.0782904   2.0498943 -11.3601748   0.8237387
  63.0000000   1.3824763  87.3487888 -12.8411768   2.6260524   1.0782013   2.0494509 -11.3634316   0.8237250
  64.0000000   1.3824117  87.3780949 -12.8171036   2.6263331   1.0781315   2.0490903 -11.3657449   0.8237140
  65.0000000   1.3823497  87.4057911 -12.7937139   2.6265860   1.0780752   2.0487962 -11.3678192   0.8237080
  66.0000000   1.3822907  87.4316293 -12.7718361   2.6268102   1.0780303   2.0484962 -11.3691493   0.8236995
  67.0000000   1.3822342  87.4558225 -12.7508325   2.6270061   1.0779942   2.0480738 -11.3701360   0.8236871
  68.0000000   1.3821798  87.4782738 -12.7309028   2.6271635   1.0779639   2.0479497 -11.3706320   0.8236826
  69.0000000   1.3821278  87.4995297 -12.7117872   2.6273103   1.0779431   2.0478958 -11.3703921   0.8236798
  70.0000000   1.3820778  87.5191934 -12.6939320   2.6274500   1.0779274   2.0478548 -11.3700997   0.8236781
  71.0000000   1.3820301  87.5376224 -12.6771907   2.6275729   1.0779160   2.0478805 -11.3694828   0.8236781
  72.0000000   1.3819843  87.5551886 -12.6613205   2.6276870   1.0779089   2.0479358 -11.3685982   0.8236794
  73.0000000   1.3819406  87.5717232 -12.6464848   2.6277827   1.0779049   2.0480203 -11.3673517   0.8236811
  74.0000000   1.3818987  87.5874380 -12.6324664   2.6278680   1.0779020   2.0480983 -11.3660713   0.8236825
  75.0000000   1.3818587  87.6026639 -12.6190303   2.6279524   1.0779042   2.0482155 -11.3642384   0.8236853
  76.0000000   1.3818203  87.6170239 -12.6065363   2.6280240   1.0779057   2.0483117 -11.3625361   0.8236873
  77.0000000   1.3817836  87.6310410 -12.5945380   2.6280910   1.0779099   2.0484029 -11.3605218   0.8236896
  78.0000000   1.3817484  87.6442428 -12.5834942   2.6281486   1.0779202   2.0488613 -11.3579172   0.8237048
  79.0000000   1.3817147  87.6568699 -12.5732442   2.6282005   1.0779296   2.0483288 -11.3561593   0.8236837
  80.0000000   1.3816823  87.6688636 -12.5638045   2.6282447   1.0779657   2.0483852 -11.3531593   0.8236866
  81.0000000   1.3816509  87.6808803 -12.5546493   2.6282918   1.0779617   2.0486304 -11.3504735   0.8236926
  82.0000000   1.3816206  87.6822402 -12.5553967   2.6279279   1.0832902   1.9394228 -11.3916349   0.8202879
  83.0000000   1.3815893  87.7333523 -12.5513054   2.6287341   1.0810445   1.9409822 -11.4263555   0.8202562
  84.0000000   1.3815479  87.7651950 -12.5415648   2.6291492   1.0804938   1.9382594 -11.4333253   0.8201342
  85.0000000   1.3815062  87.7886234 -12.5344003   2.6294360   1.0801725   1.9360012 -11.4399147   0.8200489
  86.0000000   1.3814670  87.8087916 -12.5274516   2.6296712   1.0799842   1.9347039 -11.4412924   0.8199977
  87.0000000   1.3814298  87.8259107 -12.5217548   2.6298654   1.0798502   1.9338034 -11.4419342   0.8199623
  88.0000000   1.3813950  87.8426133 -12.5154956   2.6300526   1.0797580   1.9332704 -11.4412202   0.8199401
  89.0000000   1.3813622  87.8575671 -12.5099820   2.6302154   1.0796856   1.9329130 -11.4402648   0.8199247
  90.0000000   1.3813313  87.8710295 -12.5055472   2.6303551   1.0796309   1.9326777 -11.4388175   0.8199141
  91.0000000   1.3813023  87.8835471 -12.5016859   2.6304768   1.0795886   1.9325299 -11.4370074   0.8199068
  92.0000000   1.3812749  87.8951972 -12.4983006   2.6305920   1.0795571   1.9324602 -11.4346646   0.8199023
  93.0000000   1.3812489  87.9064407 -12.4951114   2.6306988   1.0795278   1.9323426 -11.4329757   0.8198977
