 t avg_prod_f avg_k_f avg_a_f avg_l_f avg_prod_ex avg_k_ex avg_a_ex avg_l_ex
  18.0000000   1.4537708  95.2472267 -18.0841307   2.8531884   1.0056657  14.0074796 -19.9770774   1.1275803
  19.0000000   1.4538982  95.1063266 -18.0530643   2.8514826   1.0101527  13.5579796 -20.4126382   1.1150447
  20.0000000   1.4540284  95.0020553 -18.0221748   2.8504168   1.0066363  13.4866186 -21.0599521   1.1108429
  21.0000000   1.4541773  94.8924132 -17.9856407   2.8490865   1.0068728  13.3119485 -21.6065786   1.1047295
  22.0000000   1.4542871  94.7881322 -17.9458452   2.8475556   1.0032671  13.0370519 -22.5658177   1.0937666
  23.0000000   1.4543880  94.6659658 -17.9064444   2.8458037   1.0086972  12.6509596 -22.6309616   1.0836005
  24.0000000   1.4546372  94.6122485 -17.8687431   2.8453798   1.0115166  12.3677206 -22.8386907   1.0758895
  25.0000000   1.4549010  94.5860760 -17.8321146   2.8454959   1.0114506  12.2619561 -23.1421188   1.0727195
  26.0000000   1.4551256  94.5588211 -17.7931355   2.8454439   1.0114635  12.2030833 -23.4297480   1.0707797
  27.0000000   1.4552772  94.5224228 -17.7528040   2.8453009   1.0140660  12.2471276 -23.2732340   1.0721074
  28.0000000   1.4555510  94.5322379 -17.7132959   2.8459323   1.0122105  12.3756679 -23.6031736   1.0744571
  29.0000000   1.4557047  94.5106988 -17.6722822   2.8458529   1.0126971  12.3271184 -23.8486857   1.0725790
  30.0000000   1.4558713  94.5006910 -17.6308500   2.8459653   1.0124761  12.3743855 -23.9793117   1.0737602
  31.0000000   1.4560063  94.4872323 -17.5860510   2.8459456   1.0135674  12.3499287 -23.9272537   1.0730334
  32.0000000   1.4561468  94.4852749 -17.5429097   2.8461205   1.0130859  12.4294480 -23.9451782   1.0746171
  33.0000000   1.4562794  94.4827030 -17.4996639   2.8462286   1.0139708  12.4478512 -23.9257691   1.0749065
  34.0000000   1.4563921  94.4852416 -17.4564680   2.8463752   1.0118989  12.5817788 -24.0166769   1.0772225
  35.0000000   1.4564712  94.4731784 -17.4113567   2.8461847   1.0119550  12.6363896 -23.9879029   1.0787715
  36.0000000   1.4565390  94.4620218 -17.3668084   2.8459423   1.0119262  12.6308045 -24.0372250   1.0781210
  37.0000000   1.4565826  94.4485411 -17.3223703   2.8455828   1.0125841  12.5428046 -24.0776931   1.0753797
  38.0000000   1.4566098  94.4384494 -17.2787675   2.8453553   1.0126241  12.5617377 -24.0437327   1.0758030
  39.0000000   1.4566472  94.4328451 -17.2361378   2.8452073   1.0126017  12.6167799 -23.9779649   1.0767152
  40.0000000   1.4567437  94.4425491 -17.1942742   2.8453129   1.0122752  12.7343993 -23.9441073   1.0787168
  41.0000000   1.4568166  94.4478140 -17.1522168   2.8452414   1.0125905  12.6877340 -24.0998397   1.0779018
  42.0000000   1.4568040  94.4390057 -17.1105101   2.8448747   1.0124322  12.6505111 -24.1781897   1.0767063
  43.0000000   1.4568357  94.4402088 -17.0698696   2.8447339   1.0125625  12.6453310 -24.2366008   1.0763392
  44.0000000   1.4568639  94.4433296 -17.0298029   2.8446278   1.0127252  12.6466453 -24.2545796   1.0762897
  45.0000000   1.4568787  94.4460713 -16.9898062   2.8445576   1.0130784  12.6771832 -24.2557513   1.0770597
  46.0000000   1.4569114  94.4554771 -16.9518445   2.8445798   1.0147991  12.7404177 -24.0920418   1.0797834
  47.0000000   1.4569411  94.4747638 -16.9159916   2.8447724   1.0130969  12.8024409 -24.2017611   1.0811189
  48.0000000   1.4569419  94.4796297 -16.8791814   2.8446525   1.0132497  12.8024936 -24.1732505   1.0812064
  49.0000000   1.4569475  94.4873616 -16.8428682   2.8445676   1.0132471  12.8023173 -24.1904072   1.0812046
  50.0000000   1.4569453  94.4942661 -16.8088471   2.8444608   1.0133110  12.7988814 -24.1815145   1.0811305
  51.0000000   1.4569408  94.5012902 -16.7761952   2.8444038   1.0132837  12.7979710 -24.1795826   1.0811402
  52.0000000   1.4569318  94.5066350 -16.7459499   2.8443702   1.0131738  12.7957143 -24.1840937   1.0810647
  53.0000000   1.4569220  94.5180266 -16.7105825   2.8444185   1.0131501  12.7935466 -24.1719124   1.0809879
  54.0000000   1.4569061  94.5289707 -16.6768487   2.8445048   1.0132046  12.7896927 -24.1699160   1.0808469
  55.0000000   1.4568930  94.5416055 -16.6434369   2.8446229   1.0133206  12.7797241 -24.1606327   1.0806814
  56.0000000   1.4568751  94.5555767 -16.6095677   2.8447674   1.0133724  12.7717280 -24.1460020   1.0805150
  57.0000000   1.4568582  94.5708427 -16.5766829   2.8449575   1.0133838  12.7668628 -24.1300671   1.0804261
  58.0000000   1.4568438  94.5866907 -16.5448346   2.8450705   1.0137216  12.7159389 -24.1180159   1.0793272
  59.0000000   1.4568300  94.6041436 -16.5165509   2.8452230   1.0136318  12.7203984 -24.1315626   1.0794241
  60.0000000   1.4568065  94.6203308 -16.4874619   2.8453742   1.0138280  12.7374390 -24.0660156   1.0801064
  61.0000000   1.4566976  94.6869185 -16.4715191   2.8463761   1.0138533  12.7283156 -24.0656817   1.0799513
