 k a mass
  64.3314972 -99.0000000   0.0000000
  64.3314972 -49.5000000   0.0000000
  64.3314972   0.0000000   0.0014551
  64.3314972 141.4213538   0.0000000
  64.3314972 400.0000000   0.0000000
  65.1510006 -99.0000000   0.0000000
  65.1510006 -49.5000000   0.0000000
  65.1510006   0.0000000   0.0003913
  65.1510006 141.4213538   0.0000000
  65.1510006 400.0000000   0.0000000
  65.9739545 -99.0000000   0.0000000
  65.9739545 -49.5000000   0.0000000
  65.9739545   0.0000000   0.0006032
  65.9739545 141.4213538   0.0000000
  65.9739545 400.0000000   0.0000000
  66.8003447 -99.0000000   0.0000000
  66.8003447 -49.5000000   0.0000000
  66.8003447   0.0000000   0.0016165
  66.8003447 141.4213538   0.0000000
  66.8003447 400.0000000   0.0000000
  67.6301567 -99.0000000   0.0000000
  67.6301567 -49.5000000   0.0000000
  67.6301567   0.0000000   0.0006024
  67.6301567 141.4213538   0.0000000
  67.6301567 400.0000000   0.0000000
  68.4633766 -99.0000000   0.0000000
  68.4633766 -49.5000000   0.0000000
  68.4633766   0.0000000   0.0007833
  68.4633766 141.4213538   0.0000000
  68.4633766 400.0000000   0.0000000
  69.2999906 -99.0000000   0.0000000
  69.2999906 -49.5000000   0.0000000
  69.2999906   0.0000000   0.0014543
  69.2999906 141.4213538   0.0000000
  69.2999906 400.0000000   0.0000000
  70.1399848 -99.0000000   0.0000000
  70.1399848 -49.5000000   0.0000000
  70.1399848   0.0000000   0.0009609
  70.1399848 141.4213538   0.0000000
  70.1399848 400.0000000   0.0000000
  70.9833457 -99.0000000   0.0000000
  70.9833457 -49.5000000   0.0000000
  70.9833457   0.0000000   0.0008407
  70.9833457 141.4213538   0.0000000
  70.9833457 400.0000000   0.0000000
  71.8300600 -99.0000000   0.0000000
  71.8300600 -49.5000000   0.0000000
  71.8300600   0.0000000   0.0007472
  71.8300600 141.4213538   0.0000000
  71.8300600 400.0000000   0.0000000
  72.6801144 -99.0000000   0.0000000
  72.6801144 -49.5000000   0.0000000
  72.6801144   0.0000000   0.0014764
  72.6801144 141.4213538   0.0000000
  72.6801144 400.0000000   0.0000000
  73.5334959 -99.0000000   0.0000000
  73.5334959 -49.5000000   0.0000000
  73.5334959   0.0000000   0.0007084
  73.5334959 141.4213538   0.0000000
  73.5334959 400.0000000   0.0000000
  74.3901914 -99.0000000   0.0000000
  74.3901914 -49.5000000   0.0000000
  74.3901914   0.0000000   0.0010814
  74.3901914 141.4213538   0.0000000
  74.3901914 400.0000000   0.0000000
  75.2501883 -99.0000000   0.0000000
  75.2501883 -49.5000000   0.0000000
  75.2501883   0.0000000   0.0013952
  75.2501883 141.4213538   0.0000000
  75.2501883 400.0000000   0.0000000
  76.1134740 -99.0000000   0.0000000
  76.1134740 -49.5000000   0.0000000
  76.1134740   0.0000000   0.0011580
  76.1134740 141.4213538   0.0000000
  76.1134740 400.0000000   0.0000000
  76.9800359 -99.0000000   0.0000000
  76.9800359 -49.5000000   0.0000000
  76.9800359   0.0000000   0.0007329
  76.9800359 141.4213538   0.0000000
  76.9800359 400.0000000   0.0000000
  77.8498617 -99.0000000   0.0000000
  77.8498617 -49.5000000   0.0000000
  77.8498617   0.0000000   0.0009306
  77.8498617 141.4213538   0.0000000
  77.8498617 400.0000000   0.0000000
  78.7229392 -99.0000000   0.0000000
  78.7229392 -49.5000000   0.0000000
  78.7229392   0.0000000   0.0016607
  78.7229392 141.4213538   0.0000000
  78.7229392 400.0000000   0.0000000
  79.5992563 -99.0000000   0.0000000
  79.5992563 -49.5000000   0.0000000
  79.5992563   0.0000000   0.0008706
  79.5992563 141.4213538   0.0000000
  79.5992563 400.0000000   0.0000000
  80.4788012 -99.0000000   0.0000000
  80.4788012 -49.5000000   0.0000000
  80.4788012   0.0000000   0.0008421
  80.4788012 141.4213538   0.0000000
  80.4788012 400.0000000   0.0000000
  81.3615619 -99.0000000   0.0000000
  81.3615619 -49.5000000   0.0000000
  81.3615619   0.0000000   0.0017060
  81.3615619 141.4213538   0.0000000
  81.3615619 400.0000000   0.0000000
  82.2475269 -99.0000000   0.0000000
  82.2475269 -49.5000000   0.0000000
  82.2475269   0.0000000   0.0009413
  82.2475269 141.4213538   0.0000000
  82.2475269 400.0000000   0.0000000
  83.1366846 -99.0000000   0.0000000
  83.1366846 -49.5000000   0.0000000
  83.1366846   0.0000000   0.0012124
  83.1366846 141.4213538   0.0000000
  83.1366846 400.0000000   0.0000000
  84.0290235 -99.0000000   0.0000000
  84.0290235 -49.5000000   0.0000000
  84.0290235   0.0000000   0.0007646
  84.0290235 141.4213538   0.0000000
  84.0290235 400.0000000   0.0000000
  84.9245324 -99.0000000   0.0000000
  84.9245324 -49.5000000   0.0000000
  84.9245324   0.0000000   0.0008482
  84.9245324 141.4213538   0.0000000
  84.9245324 400.0000000   0.0000000
  85.8232001 -99.0000000   0.0000000
  85.8232001 -49.5000000   0.0000000
  85.8232001   0.0000000   0.0011698
  85.8232001 141.4213538   0.0000000
  85.8232001 400.0000000   0.0000000
