 t avg_prod_f avg_k_f avg_a_f avg_l_f avg_prod_ex avg_k_ex avg_a_ex avg_l_ex
  82.0000000   1.3718466  88.7358604 -13.0684423   2.6961907   1.0809081   3.7597368  -8.9110954   0.8969969
  83.0000000   1.3718437  88.7278532 -13.0426110   2.6958127   1.0817221   3.7386355  -8.9290615   0.8963470
  84.0000000   1.3718461  88.7295666 -13.0174535   2.6956313   1.0809282   3.7306471  -8.9850969   0.8961281
  85.0000000   1.3718681  88.7316781 -12.9924421   2.6954632   1.0810693   3.7332817  -8.9873486   0.8961953
  86.0000000   1.3718781  88.7316406 -12.9672525   2.6952401   1.0815796   3.7141942  -9.0129500   0.8957032
  87.0000000   1.3719073  88.7426339 -12.9423511   2.6952223   1.0812292   3.6925754  -9.0424024   0.8949492
  88.0000000   1.3720473  88.6735089 -12.9055484   2.6931871   1.0815266   3.6847141  -9.0527585   0.8945427
  89.0000000   1.3721680  88.5956949 -12.8816722   2.6914606   1.0802968   3.7766936  -8.9763701   0.8977538
  90.0000000   1.3721495  88.5841908 -12.8660463   2.6911752   1.0810699   3.7844383  -8.9492927   0.8980439
  91.0000000   1.3721220  88.5852863 -12.8374410   2.6915450   1.0806489   3.8281472  -8.8887424   0.8995168
  92.0000000   1.3720813  88.5852018 -12.8057304   2.6919875   1.0778141   3.5164813  -9.2414352   0.8880254
  93.0000000   1.3719969  88.5574491 -12.7724962   2.6913202   1.0784961   3.5823244  -9.1252983   0.8896841
  94.0000000   1.3718978  88.5342304 -12.7411081   2.6904150   1.0787912   3.4718833  -9.2015428   0.8863264
  95.0000000   1.3717997  88.5152667 -12.7101839   2.6895932   1.0785921   3.5115530  -9.1877825   0.8870707
  96.0000000   1.3717895  88.5208394 -12.6797756   2.6892725   1.0786415   3.5038108  -9.1930324   0.8867788
  97.0000000   1.3717579  88.5215735 -12.6492197   2.6888529   1.0787619   3.4946752  -9.2041371   0.8864757
  98.0000000   1.3717404  88.5275897 -12.6195040   2.6885543   1.0787112   3.4925340  -9.2076685   0.8863752
  99.0000000   1.3717230  88.5330521 -12.5907022   2.6882634   1.0787277   3.4900992  -9.2113154   0.8862818
 100.0000000   1.3717085  88.5396737 -12.5628281   2.6880101   1.0787559   3.4892678  -9.2116192   0.8862367
 101.0000000   1.3716943  88.5459460 -12.5365530   2.6877307   1.0790128   3.4725211  -9.2372950   0.8857425
 102.0000000   1.3717051  88.5625979 -12.5103644   2.6877197   1.0791948   3.4826072  -9.2277462   0.8861483
 103.0000000   1.3716793  88.5944194 -12.4880458   2.6880668   1.0791119   3.4874046  -9.2186727   0.8862970
 104.0000000   1.3716474  88.6242378 -12.4643990   2.6883438   1.0791221   3.4846318  -9.2205057   0.8861982
 105.0000000   1.3716180  88.6533214 -12.4416864   2.6886153   1.0790851   3.4821976  -9.2224586   0.8861159
 106.0000000   1.3715895  88.6801995 -12.4206157   2.6888648   1.0789177   3.4781038  -9.2280147   0.8859736
 107.0000000   1.3715601  88.7034754 -12.4010215   2.6890615   1.0788060   3.4760598  -9.2307735   0.8859033
 108.0000000   1.3715307  88.7239030 -12.3829582   2.6892225   1.0787274   3.4748066  -9.2325116   0.8858602
 109.0000000   1.3715019  88.7424134 -12.3660263   2.6893538   1.0786623   3.4747251  -9.2328589   0.8858572
 110.0000000   1.3714732  88.7588912 -12.3503793   2.6894669   1.0786027   3.4743407  -9.2336692   0.8858415
 111.0000000   1.3714452  88.7740541 -12.3356310   2.6895624   1.0785591   3.4741770  -9.2339137   0.8858323
 112.0000000   1.3714178  88.7876458 -12.3220016   2.6896332   1.0785305   3.4739657  -9.2340679   0.8858212
 113.0000000   1.3713911  88.7997391 -12.3096921   2.6896841   1.0785092   3.4738346  -9.2340644   0.8858130
 114.0000000   1.3713653  88.8107775 -12.2984642   2.6897223   1.0785140   3.4743760  -9.2330475   0.8858365
 115.0000000   1.3713401  88.8208230 -12.2883406   2.6897490   1.0784966   3.4746856  -9.2316914   0.8858464
 116.0000000   1.3713156  88.8291990 -12.2793708   2.6897653   1.0783260   3.5071199  -9.2066130   0.8864779
 117.0000000   1.3712726  88.8615109 -12.2732078   2.6902771   1.0784982   3.5111779  -9.1952800   0.8866028
 118.0000000   1.3712216  88.8910651 -12.2678090   2.6907082   1.0784654   3.5080231  -9.1980618   0.8864925
 119.0000000   1.3712097  88.8989974 -12.2617566   2.6905714   1.0785623   3.4725585  -9.2249334   0.8857512
 120.0000000   1.3704686  89.4267313 -12.3892692   2.6962902   1.0781073   3.5204982  -9.1363591   0.8868980
